District,Village,Year,BNursery,BPrimary,BSecondary,BTertiary,GNursery,GPrimary,GSecondary,GTertiary,Goats,Cows,Ag Biz,Other Biz,Homes with Iron Sheets,# of Motorcycles,# of TVs,# of People,# of HH,Biz Score,LIfestyle Score,Waterborne Illness,Edu Score,Ag Score,Livestock Score,Score,Treated,Time Treated
Mulanje,Sumani,2015,23,48,8,5,32,72,11,2,23,9,6,11,38,1,2,1840,1009,17,41,142,201,320,32,8,0,0
Mulanje,Sumani,2016,21,41,11,2,33,49,4,0,15,5,4,7,20,0,1,1840,1009,11,21,117,161,170,20,4,0,0
Mulanje,Bakili,2014,15,78,14,1,24,105,8,0,24,3,17,5,34,6,3,2095,329,22,43,189,245,1021,27,13,1,0
Mulanje,Bakili,2015,21,92,19,0,34,114,11,0,19,1,16,6,46,5,4,2095,329,22,55,74,291,823,20,17,1,1
Mulanje,Bakili,2016,26,109,22,1,47,121,26,2,30,5,21,3,51,6,4,2095,329,24,61,23,354,640,35,19,1,1
Mulanje,Chitimbe,2014,15,267,11,0,21,156,5,0,37,8,7,6,80,10,0,2843,684,13,90,231,475,1350,45,17,1,0
Mulanje,Chitimbe,2015,12,187,7,0,18,121,4,0,36,4,6,8,78,12,1,2843,684,14,91,224,349,920,40,11,1,0
Mulanje,Chitimbe,2016,23,211,15,0,31,167,9,1,49,6,8,10,103,11,2,2843,684,18,116,83,457,547,55,16,1,1
Mulanje,Kazembe,2014,0,48,6,0,0,39,9,0,32,7,32,7,78,12,0,2085,398,39,90,195,102,1163,39,14,1,0
Mulanje,Kazembe,2015,25,53,9,0,28,44,9,1,42,10,43,17,89,13,1,2085,398,60,103,68,169,699,52,18,1,1
Mulanje,Kazembe,2016,36,67,9,1,43,59,23,1,54,13,58,23,103,12,4,2085,398,81,119,14,239,422,67,22,1,1
Mulanje,Mphyakula,2014,13,57,12,0,18,95,17,0,21,5,10,35,60,6,3,1223,245,45,69,177,212,1002,26,25,0,0
Mulanje,Mphyakula,2015,15,61,14,1,13,79,18,0,32,1,9,40,61,6,3,1223,245,49,70,169,201,742,33,22,0,0
Mulanje,Mphyakula,2016,12,53,11,1,16,64,14,0,46,3,8,29,56,6,4,1223,245,37,66,189,171,432,49,14,0,0
Mulanje,Nalipa,2014,3,25,10,1,5,30,11,0,24,9,18,6,54,2,0,1085,195,24,56,143,85,734,33,17,0,0
Mulanje,Nalipa,2015,7,21,14,0,3,26,9,0,35,5,10,7,32,4,1,1085,195,17,37,156,80,531,40,11,0,0
Mulanje,Nalipa,2016,3,18,8,0,5,21,10,0,42,3,13,2,39,3,0,1085,195,15,42,161,65,324,45,6,0,0
