District,Village,Year,BNursery,BPrimary,BSecondary,BTertiary,GNursery,GPrimary,GSecondary,GTertiary,Maize,Goats,Cows,Waterborne Illness,Ag Biz,Other Biz,Homes with Iron Sheets,# of Motorcycles,# of TVs,# of People,# of HH,Time Treated,Treated,Money,Ag,Livestock,Edu,Water
Mulanje,Nguo,2014,25,150,12,0,21,210,7,1,470,35,14,140,3,11,78,4,0,1793,197,0,0,0,0,0,0,0
Mulanje,Nguo,2015,20,172,6,0,19,201,10,0,270,38,14,191,5,9,63,4,1,1793,197,0,0,0,0,0,0,0
Mulanje,Nguo,2016,21,160,16,0,20,195,11,0,79,40,14,130,4,10,70,3,0,1793,197,0,0,0,0,0,0,0
Mulanje,Sumani,2014,25,40,5,3,47,63,9,0,750,18,7,129,9,9,44,0,0,1840,1009,0,0,0,0,0,0,0
Mulanje,Sumani,2015,23,48,8,5,32,72,11,2,320,23,9,142,6,11,38,1,2,1840,1009,0,0,0,0,0,0,0
Mulanje,Sumani,2016,21,41,11,2,33,49,4,0,170,15,5,117,4,7,20,0,1,1840,1009,0,0,0,0,0,0,0
Mulanje,Bakili,2014,15,78,14,1,24,105,8,0,1021,24,3,189,17,5,34,6,3,2095,329,0,1,0,0,0,0,0
Mulanje,Bakili,2015,21,92,19,0,34,114,11,0,823,19,1,74,16,6,46,5,4,2095,329,1,1,7000,0,0,0,1
Mulanje,Bakili,2016,26,109,22,1,47,121,26,2,640,30,5,23,21,3,51,6,4,2095,329,1,1,0,0,0,0,0
Mulanje,Chitimbe,2014,15,267,11,0,21,156,5,0,1350,37,8,231,7,6,80,10,0,2843,684,0,1,0,0,0,0,0
Mulanje,Chitimbe,2015,12,187,7,0,18,121,4,0,920,36,4,224,6,8,78,12,1,2843,684,0,1,0,0,0,0,0
Mulanje,Chitimbe,2016,23,211,15,0,31,167,9,1,547,49,6,83,8,10,103,11,2,2843,684,1,1,6000,0,0,0,1
Mulanje,Kazembe,2014,0,48,6,0,0,39,9,0,1163,32,7,195,32,7,78,12,0,2085,398,0,1,0,0,0,0,0
Mulanje,Kazembe,2015,25,53,9,0,28,44,9,1,699,42,10,68,43,17,89,13,1,2085,398,1,1,7000,0,0,0,1
Mulanje,Kazembe,2016,36,67,9,1,43,59,23,1,422,54,13,14,58,23,103,12,4,2085,398,1,1,2000,0,0,1,0
Mulanje,Mphyakula,2014,13,57,12,0,18,95,17,0,1002,21,5,177,10,35,60,6,3,1223,245,0,0,0,0,0,0,0
Mulanje,Mphyakula,2015,15,61,14,1,13,79,18,0,742,32,1,169,9,40,61,6,3,1223,245,0,0,0,0,0,0,0
Mulanje,Mphyakula,2016,12,53,11,1,16,64,14,0,432,46,3,189,8,29,56,6,4,1223,245,0,0,0,0,0,0,0
Mulanje,Nalipa,2014,3,25,10,1,5,30,11,0,734,24,9,143,18,6,54,2,0,1085,195,0,0,0,0,0,0,0
Mulanje,Nalipa,2015,7,21,14,0,3,26,9,0,531,35,5,156,10,7,32,4,1,1085,195,0,0,0,0,0,0,0
Mulanje,Nalipa,2016,3,18,8,0,5,21,10,0,324,42,3,161,13,2,39,3,0,1085,195,0,0,0,0,0,0,0
